frame_id,frame_name,nm_per_pixel,cx_nm,cy_nm,diameter_nm,height_nm
57,11dd74426e8374ac110c4036c77c09ab_000000000063,0.390658,328.137185,195.706497,156.634171,75.207863
58,11dd74426e8374ac110c4036c77c09ab_000000000064,0.390658,328.681326,194.639639,156.329178,76.335213
59,11dd74426e8374ac110c4036c77c09ab_000000000065,0.390658,329.455298,198.164632,155.892502,74.370750
60,11dd74426e8374ac110c4036c77c09ab_000000000066,0.390658,327.299718,197.405932,156.954300,73.482269
61,11dd74426e8374ac110c4036c77c09ab_000000000067,0.390658,328.505597,197.259388,156.869583,73.678299
62,11dd74426e8374ac110c4036c77c09ab_000000000068,0.390658,330.160241,197.193841,157.195740,74.985779
63,11dd74426e8374ac110c4036c77c09ab_000000000069,0.390658,331.215332,196.758440,156.791519,74.488754
64,11dd74426e8374ac110c4036c77c09ab_000000000070,0.390658,332.395651,197.442699,156.979935,74.731461
65,11dd74426e8374ac110c4036c77c09ab_000000000071,0.390658,326.528130,194.972761,160.193039,75.692261
66,11dd74426e8374ac110c4036c77c09ab_000000000072,0.390658,325.915152,194.066397,160.273010,74.915855
67,11dd74426e8374ac110c4036c77c09ab_000000000073,0.383342,328.986023,194.925851,157.472977,74.192192
68,11dd74426e8374ac110c4036c77c09ab_000000000074,0.383342,315.824660,190.640352,157.532257,74.799904
69,11dd74426e8374ac110c4036c77c09ab_000000000075,0.383342,319.138539,190.501185,157.944260,73.992249
70,11dd74426e8374ac110c4036c77c09ab_000000000076,0.390658,333.467504,197.048560,162.488129,75.736206
71,11dd74426e8374ac110c4036c77c09ab_000000000077,0.390658,333.933413,199.467245,162.140289,76.453522
72,11dd74426e8374ac110c4036c77c09ab_000000000078,0.390658,337.279660,198.127769,163.609924,75.776924
73,11dd74426e8374ac110c4036c77c09ab_000000000079,0.390658,335.064184,199.721576,163.739380,75.409279
74,11dd74426e8374ac110c4036c77c09ab_000000000080,0.383342,331.244449,195.919008,161.411331,73.509384
75,11dd74426e8374ac110c4036c77c09ab_000000000081,0.383342,331.945082,197.078263,159.968460,73.591103
76,11dd74426e8374ac110c4036c77c09ab_000000000082,0.383342,330.625333,195.439328,159.962006,73.562088
77,11dd74426e8374ac110c4036c77c09ab_000000000083,0.383342,330.600064,195.538650,161.105713,73.218842
78,11dd74426e8374ac110c4036c77c09ab_000000000084,0.383342,336.265840,198.744807,161.078735,73.562088
79,11dd74426e8374ac110c4036c77c09ab_000000000085,0.383342,334.259895,196.703345,160.842819,72.630394
80,11dd74426e8374ac110c4036c77c09ab_000000000086,0.383342,334.076904,196.363616,161.330322,72.630394
81,11dd74426e8374ac110c4036c77c09ab_000000000087,0.383342,333.227114,197.881119,161.399582,72.744057
82,11dd74426e8374ac110c4036c77c09ab_000000000088,0.383342,335.412797,196.042511,161.673935,72.978493
83,11dd74426e8374ac110c4036c77c09ab_000000000089,0.383342,334.667640,196.181046,162.524399,72.322571
84,11dd74426e8374ac110c4036c77c09ab_000000000090,0.383342,334.322529,196.929012,162.090363,71.358116
85,11dd74426e8374ac110c4036c77c09ab_000000000091,0.383342,335.121197,195.977829,162.348999,71.580154
86,11dd74426e8374ac110c4036c77c09ab_000000000092,0.376288,327.552507,189.328182,159.157959,70.595772
87,11dd74426e8374ac110c4036c77c09ab_000000000093,0.376288,326.991864,191.072845,158.803040,70.470810
88,11dd74426e8374ac110c4036c77c09ab_000000000094,0.383342,337.627610,195.987445,161.156555,71.658318
89,11dd74426e8374ac110c4036c77c09ab_000000000095,0.383342,334.501144,193.806418,160.777328,77.444565
90,11dd74426e8374ac110c4036c77c09ab_000000000096,0.383342,337.064507,195.751132,162.828705,78.917412
91,11dd74426e8374ac110c4036c77c09ab_000000000097,0.383342,336.129551,197.094899,160.984192,71.299255
92,11dd74426e8374ac110c4036c77c09ab_000000000098,0.383342,332.609074,199.379085,159.928772,71.574547
93,11dd74426e8374ac110c4036c77c09ab_000000000099,0.383342,331.286330,197.323490,160.362091,71.070602
94,11dd74426e8374ac110c4036c77c09ab_000000000100,0.383342,335.438207,196.050080,159.477905,81.454880
95,11dd74426e8374ac110c4036c77c09ab_000000000101,0.376288,325.904431,190.992495,159.515579,71.607346
96,11dd74426e8374ac110c4036c77c09ab_000000000102,0.376288,326.000524,190.235727,160.781143,71.252991
97,11dd74426e8374ac110c4036c77c09ab_000000000103,0.390658,344.013738,201.438358,165.458923,73.805435
98,11dd74426e8374ac110c4036c77c09ab_000000000104,0.390658,347.983550,202.052313,165.031342,74.419708
99,11dd74426e8374ac110c4036c77c09ab_000000000105,0.383342,340.850169,195.276108,162.501144,73.015297
100,11dd74426e8374ac110c4036c77c09ab_000000000106,0.390658,339.840514,199.649246,164.851700,74.801903
101,11dd74426e8374ac110c4036c77c09ab_000000000107,0.390658,337.477493,198.389098,165.012466,74.657806
102,11dd74426e8374ac110c4036c77c09ab_000000000108,0.390658,331.437247,198.445429,163.994583,73.324768
103,11dd74426e8374ac110c4036c77c09ab_000000000109,0.390658,336.117749,200.016203,164.151001,73.493301
104,11dd74426e8374ac110c4036c77c09ab_000000000110,0.383342,331.233429,198.123795,160.265610,75.399185
105,11dd74426e8374ac110c4036c77c09ab_000000000111,0.390658,329.303532,197.926884,166.985504,74.253983
106,11dd74426e8374ac110c4036c77c09ab_000000000112,0.390658,330.016892,201.972818,167.268890,74.369171
107,11dd74426e8374ac110c4036c77c09ab_000000000113,0.383342,329.537568,195.342650,164.984848,72.249054
108,11dd74426e8374ac110c4036c77c09ab_000000000114,0.383342,334.198828,197.754703,164.034286,74.238495
109,11dd74426e8374ac110c4036c77c09ab_000000000115,0.376288,321.365085,191.692765,148.718140,98.832214
110,11dd74426e8374ac110c4036c77c09ab_000000000116,0.376288,322.068214,191.462224,161.789734,72.859924
111,11dd74426e8374ac110c4036c77c09ab_000000000117,0.383342,328.488807,195.154571,165.919968,73.709442
112,11dd74426e8374ac110c4036c77c09ab_000000000118,0.383342,329.442271,195.477735,167.466080,71.825607
113,11dd74426e8374ac110c4036c77c09ab_000000000119,0.383342,327.801277,194.705354,165.851440,72.478142
114,11dd74426e8374ac110c4036c77c09ab_000000000120,0.383342,326.214728,196.994688,165.163971,74.587280
115,11dd74426e8374ac110c4036c77c09ab_000000000121,0.383342,313.866235,193.483593,167.807281,73.103539
116,11dd74426e8374ac110c4036c77c09ab_000000000122,0.383342,322.583793,196.498688,168.393341,73.102890
117,11dd74426e8374ac110c4036c77c09ab_000000000123,0.383342,321.766665,194.648487,168.371582,73.438927
118,11dd74426e8374ac110c4036c77c09ab_000000000124,0.376288,314.957458,193.843987,165.503738,69.884964
119,11dd74426e8374ac110c4036c77c09ab_000000000125,0.376288,314.980448,189.945232,165.726410,69.707474
120,11dd74426e8374ac110c4036c77c09ab_000000000126,0.376288,317.632541,196.093862,168.136902,69.015854
121,11dd74426e8374ac110c4036c77c09ab_000000000127,0.383342,321.439150,198.377048,171.484833,70.226395
122,11dd74426e8374ac110c4036c77c09ab_000000000128,0.383342,326.315922,199.709736,171.069733,70.506241
123,11dd74426e8374ac110c4036c77c09ab_000000000129,0.383342,327.611244,201.053958,170.723129,71.868347
124,11dd74426e8374ac110c4036c77c09ab_000000000130,0.383342,327.164870,199.368720,170.637970,71.957878
125,11dd74426e8374ac110c4036c77c09ab_000000000131,0.383342,332.882916,200.046353,171.406281,70.736832
126,11dd74426e8374ac110c4036c77c09ab_000000000132,0.383342,328.626056,199.738795,171.367813,70.765442
127,11dd74426e8374ac110c4036c77c09ab_000000000133,0.383342,325.215687,195.617171,171.427597,72.072830
128,11dd74426e8374ac110c4036c77c09ab_000000000134,0.383342,324.914633,195.907380,171.146698,71.515396
129,11dd74426e8374ac110c4036c77c09ab_000000000135,0.383342,323.471744,195.790686,170.073639,73.656464
130,11dd74426e8374ac110c4036c77c09ab_000000000136,0.383342,325.756586,198.518321,171.392227,71.085732
131,11dd74426e8374ac110c4036c77c09ab_000000000137,0.383342,322.719521,197.529200,171.283310,71.275414
132,11dd74426e8374ac110c4036c77c09ab_000000000138,0.376288,316.728085,192.020410,166.900635,71.477112
133,11dd74426e8374ac110c4036c77c09ab_000000000139,0.376288,318.422255,192.760642,167.925934,69.756714
134,11dd74426e8374ac110c4036c77c09ab_000000000140,0.383342,323.431758,196.633761,172.961151,70.879356
135,11dd74426e8374ac110c4036c77c09ab_000000000141,0.383342,322.825721,194.998874,170.252914,72.749886
136,11dd74426e8374ac110c4036c77c09ab_000000000142,0.383342,321.501106,195.002968,170.314148,73.267387
137,11dd74426e8374ac110c4036c77c09ab_000000000143,0.390658,328.517781,198.925418,176.295319,71.870361
138,11dd74426e8374ac110c4036c77c09ab_000000000144,0.390658,329.056032,201.044195,176.154968,72.219238
139,11dd74426e8374ac110c4036c77c09ab_000000000145,0.390658,331.674350,200.911885,177.344833,71.661629
140,11dd74426e8374ac110c4036c77c09ab_000000000146,0.390658,331.693425,201.959656,177.344833,71.944145
141,11dd74426e8374ac110c4036c77c09ab_000000000147,0.390658,331.605251,203.160170,177.146683,72.172577
142,11dd74426e8374ac110c4036c77c09ab_000000000148,0.390658,333.789515,202.105557,176.217438,73.643456
143,11dd74426e8374ac110c4036c77c09ab_000000000149,0.383342,327.311033,201.121623,173.170364,70.662041
144,11dd74426e8374ac110c4036c77c09ab_000000000150,0.390658,333.439177,204.063781,176.347321,71.402649
145,11dd74426e8374ac110c4036c77c09ab_000000000151,0.390658,330.804908,204.377876,176.287064,71.157219
146,11dd74426e8374ac110c4036c77c09ab_000000000152,0.390658,336.680130,202.658615,175.792908,71.280754
147,11dd74426e8374ac110c4036c77c09ab_000000000153,0.390658,341.865478,206.355844,175.875381,71.160934
148,11dd74426e8374ac110c4036c77c09ab_000000000154,0.390658,337.534003,204.236673,176.034012,70.171936
149,11dd74426e8374ac110c4036c77c09ab_000000000155,0.390658,336.662080,205.057951,175.905762,70.171928
150,11dd74426e8374ac110c4036c77c09ab_000000000156,0.390658,335.255150,203.252088,177.142685,70.551788
151,11dd74426e8374ac110c4036c77c09ab_000000000157,0.390658,336.938931,205.137136,176.163559,71.157227
152,11dd74426e8374ac110c4036c77c09ab_000000000158,0.388955,333.017439,202.766065,175.185776,70.890259
153,11dd74426e8374ac110c4036c77c09ab_000000000159,0.390658,336.496032,206.797074,176.405670,69.467751
154,11dd74426e8374ac110c4036c77c09ab_000000000160,0.383342,325.527830,201.440060,173.877228,67.770447
155,11dd74426e8374ac110c4036c77c09ab_000000000161,0.383342,331.926176,200.083601,173.603714,67.599953
156,11dd74426e8374ac110c4036c77c09ab_000000000162,0.383342,332.395433,203.282880,173.752869,67.918678
157,11dd74426e8374ac110c4036c77c09ab_000000000163,0.376288,321.860158,199.080054,170.203827,68.052841
158,11dd74426e8374ac110c4036c77c09ab_000000000164,0.383342,326.135996,200.375155,173.334808,70.108841
159,11dd74426e8374ac110c4036c77c09ab_000000000165,0.383342,325.897554,200.205688,173.406433,70.576736
160,11dd74426e8374ac110c4036c77c09ab_000000000166,0.383342,317.410857,198.221292,172.800980,69.003014
161,11dd74426e8374ac110c4036c77c09ab_000000000167,0.383342,325.124928,199.843802,172.601791,69.067650
162,11dd74426e8374ac110c4036c77c09ab_000000000168,0.390658,342.588543,206.591755,175.385956,70.732567
163,11dd74426e8374ac110c4036c77c09ab_000000000169,0.398252,347.191451,207.461654,178.277817,72.653389
164,11dd74426e8374ac110c4036c77c09ab_000000000170,0.390658,347.928184,203.576866,175.156052,73.335777
165,11dd74426e8374ac110c4036c77c09ab_000000000171,0.390658,344.367819,206.118836,174.186920,72.763199
166,11dd74426e8374ac110c4036c77c09ab_000000000172,0.390658,346.284413,206.861667,175.209824,73.099976
167,11dd74426e8374ac110c4036c77c09ab_000000000173,0.390658,338.974672,203.268469,176.255920,71.764793
168,11dd74426e8374ac110c4036c77c09ab_000000000174,0.390658,336.270826,204.418578,176.273239,72.182297
169,11dd74426e8374ac110c4036c77c09ab_000000000175,0.390658,330.858604,203.296128,172.597092,75.153862
170,11dd74426e8374ac110c4036c77c09ab_000000000176,0.390658,337.322102,205.093764,172.612396,71.508545
171,11dd74426e8374ac110c4036c77c09ab_000000000177,0.390658,336.638093,201.536308,171.338654,72.026764
172,11dd74426e8374ac110c4036c77c09ab_000000000178,0.390658,335.007030,204.093443,171.299454,71.784920
173,11dd74426e8374ac110c4036c77c09ab_000000000179,0.390658,339.784028,204.081044,171.328857,71.740410
174,11dd74426e8374ac110c4036c77c09ab_000000000180,0.383342,334.329081,202.395256,168.243393,70.406601
175,11dd74426e8374ac110c4036c77c09ab_000000000181,0.383342,334.932146,203.649352,168.243393,70.427643
176,11dd74426e8374ac110c4036c77c09ab_000000000182,0.381732,329.455155,197.854206,168.059265,69.019539
177,11dd74426e8374ac110c4036c77c09ab_000000000183,0.381732,331.840073,200.765893,167.806000,69.399445
178,11dd74426e8374ac110c4036c77c09ab_000000000184,0.376288,329.444858,198.701101,166.212265,67.393181
179,11dd74426e8374ac110c4036c77c09ab_000000000185,0.376288,324.825427,198.425063,166.542419,67.043854
180,11dd74426e8374ac110c4036c77c09ab_000000000186,0.376288,324.098596,199.472717,167.144424,66.009979
181,11dd74426e8374ac110c4036c77c09ab_000000000187,0.383342,333.349763,205.021347,171.305328,67.119949
182,11dd74426e8374ac110c4036c77c09ab_000000000188,0.383342,331.156498,203.323474,171.295868,67.232681
183,11dd74426e8374ac110c4036c77c09ab_000000000189,0.383342,328.654741,201.070594,172.697281,67.833992
184,11dd74426e8374ac110c4036c77c09ab_000000000190,0.383342,332.168432,203.310956,172.702164,67.782532
185,11dd74426e8374ac110c4036c77c09ab_000000000191,0.390658,340.562650,205.680419,174.994995,68.414734
186,11dd74426e8374ac110c4036c77c09ab_000000000192,0.390658,337.616431,205.629417,175.347473,68.158920
187,11dd74426e8374ac110c4036c77c09ab_000000000193,0.376288,326.331499,198.750595,168.150665,65.665588
188,11dd74426e8374ac110c4036c77c09ab_000000000194,0.383342,324.101647,199.768673,169.655838,66.685585
189,11dd74426e8374ac110c4036c77c09ab_000000000195,0.383342,325.543062,201.669073,169.900345,66.623680
190,11dd74426e8374ac110c4036c77c09ab_000000000196,0.383342,334.305122,205.164117,173.613495,65.873711
191,11dd74426e8374ac110c4036c77c09ab_000000000197,0.383342,341.542262,227.311055,1.371504,1.371480
191,11dd74426e8374ac110c4036c77c09ab_000000000197,0.383342,328.211947,202.202181,173.970627,66.161110
192,11dd74426e8374ac110c4036c77c09ab_000000000198,0.383342,363.675676,240.803303,2.228641,1.200054
192,11dd74426e8374ac110c4036c77c09ab_000000000198,0.383342,331.211903,206.297741,175.245270,66.518951
193,11dd74426e8374ac110c4036c77c09ab_000000000199,0.383342,333.687105,207.391425,175.288834,66.430351
194,11dd74426e8374ac110c4036c77c09ab_000000000200,0.383342,326.761524,201.648367,174.886215,66.998108
195,11dd74426e8374ac110c4036c77c09ab_000000000201,0.383342,335.867243,202.853867,174.501602,67.970749
196,11dd74426e8374ac110c4036c77c09ab_000000000202,0.383342,330.772806,201.891652,175.001999,67.954628
197,11dd74426e8374ac110c4036c77c09ab_000000000203,0.383342,335.668507,203.441490,176.511551,68.170158
198,11dd74426e8374ac110c4036c77c09ab_000000000204,0.383342,334.242394,204.228178,176.479568,68.583412
199,11dd74426e8374ac110c4036c77c09ab_000000000205,0.392232,345.663450,211.745528,180.112274,69.747299
200,11dd74426e8374ac110c4036c77c09ab_000000000206,0.390658,340.893698,208.417479,179.243851,69.419556
201,11dd74426e8374ac110c4036c77c09ab_000000000207,0.383342,325.926544,199.327868,175.700180,68.284637
202,11dd74426e8374ac110c4036c77c09ab_000000000208,0.383342,321.651316,197.785400,164.844467,111.653244
203,11dd74426e8374ac110c4036c77c09ab_000000000209,0.390658,333.401528,203.584162,177.722641,69.889305
204,11dd74426e8374ac110c4036c77c09ab_000000000210,0.383342,328.179214,201.884820,176.108139,68.545738
205,11dd74426e8374ac110c4036c77c09ab_000000000211,0.383342,328.006542,201.955269,176.224213,68.190567
206,11dd74426e8374ac110c4036c77c09ab_000000000212,0.376288,272.147424,159.983605,0.752577,0.752577
206,11dd74426e8374ac110c4036c77c09ab_000000000212,0.376288,328.221783,200.227315,174.141129,66.646614
207,11dd74426e8374ac110c4036c77c09ab_000000000213,0.376288,326.628827,199.866415,174.162491,66.530151
208,11dd74426e8374ac110c4036c77c09ab_000000000214,0.383342,282.535032,162.937043,1.150025,1.150025
208,11dd74426e8374ac110c4036c77c09ab_000000000214,0.383342,333.978238,202.330305,161.122757,120.414833
209,11dd74426e8374ac110c4036c77c09ab_000000000215,0.383342,283.908689,162.441886,1.150025,1.150025
209,11dd74426e8374ac110c4036c77c09ab_000000000215,0.383342,335.024145,202.381311,177.890686,67.337563
210,11dd74426e8374ac110c4036c77c09ab_000000000216,0.383342,390.013868,247.179656,1.697147,0.969784
210,11dd74426e8374ac110c4036c77c09ab_000000000216,0.383342,390.269437,240.279507,1.580535,0.650820
210,11dd74426e8374ac110c4036c77c09ab_000000000216,0.383342,384.199870,240.854543,6.060232,4.146470
210,11dd74426e8374ac110c4036c77c09ab_000000000216,0.383342,328.867375,196.427607,179.036285,63.664364
211,11dd74426e8374ac110c4036c77c09ab_000000000217,0.383342,331.299596,199.667644,179.716095,63.774723
212,11dd74426e8374ac110c4036c77c09ab_000000000218,0.383342,332.572714,199.046773,179.716080,63.696671
213,11dd74426e8374ac110c4036c77c09ab_000000000219,0.383342,337.733273,207.078719,178.364441,68.676773
