frame,cx,cy
300,839.75,514.44
301,842.64,515.86
302,858.92,520.50
303,850.34,524.63
304,857.16,518.31
305,859.03,517.12
306,852.29,519.30
307,847.12,511.59
308,850.49,517.31
309,858.88,512.20
310,836.27,510.99
311,839.72,511.26
312,836.76,514.65
313,722.69,513.23
313,845.12,513.82
314,721.75,512.75
314,839.62,516.50
315,723.72,512.22
315,836.71,511.03
316,722.74,511.52
316,837.41,506.40
317,833.92,511.38
318,720.43,513.08
318,831.74,511.84
319,829.47,506.37
320,833.05,511.17
321,834.30,508.81
322,842.71,514.49
323,856.53,515.73
324,850.76,510.80
325,857.97,516.54
326,860.26,523.71
327,858.83,515.01
328,857.19,520.49
329,850.20,517.18
330,871.90,524.41
331,869.44,526.08
332,875.91,524.71
333,828.22,454.30
334,833.70,462.88
335,818.27,455.48
336,843.32,461.27
337,850.38,465.71
338,854.32,459.40
339,859.09,461.48
340,844.87,463.49
341,837.06,457.36
342,810.92,450.24
343,808.68,459.86
344,836.12,465.28
345,839.75,468.99
346,839.92,465.71
347,825.48,457.67
348,834.31,463.03
349,843.43,471.06
350,854.95,462.25
351,849.23,465.68
352,845.09,479.27
353,854.91,467.51
354,825.31,466.89
355,838.63,469.66
356,831.24,456.78
357,817.76,458.04
358,806.58,454.38
359,819.59,462.76
360,830.41,471.78
361,811.82,463.35
362,812.67,468.37
363,838.01,479.91
364,811.36,473.30
365,832.74,470.79
366,818.52,463.22
367,816.55,462.68
368,800.32,432.94
369,840.27,478.12
370,861.88,490.16
371,855.13,496.35
372,862.75,486.52
373,855.43,478.07
374,862.41,469.91
375,857.52,469.56
376,870.95,466.43
377,865.54,467.70
378,854.47,459.22
379,863.24,457.09
380,873.28,469.09
381,872.14,474.97
382,866.73,467.32
383,876.67,471.34
384,876.34,475.76
385,874.08,481.76
386,881.33,480.40
387,872.14,478.67
388,876.58,473.72
389,861.43,465.06
390,863.54,463.60
391,877.65,469.03
392,882.97,466.99
393,877.14,462.42
394,880.27,474.30
395,868.31,475.16
396,881.33,481.91
397,859.97,477.03
398,872.88,464.74
399,860.95,475.89
400,855.62,480.15
401,867.71,488.39
402,850.79,481.63
403,848.60,487.95
404,848.95,482.64
405,848.56,486.85
406,864.66,495.24
407,839.02,485.37
408,844.94,486.52
409,808.60,447.14
410,834.26,456.23
411,821.51,445.71
412,836.16,463.55
413,844.93,465.20
414,820.42,453.18
415,819.55,452.29
416,815.65,450.63
417,815.55,458.64
418,812.18,458.32
419,850.61,459.39
420,838.38,455.06
421,851.00,463.86
422,826.02,462.41
423,846.02,460.37
424,861.50,457.43
425,850.35,471.34
426,849.43,454.19
427,847.87,463.51
428,828.25,472.33
429,839.16,474.36
430,831.69,482.17
431,1108.32,628.01
431,870.97,480.13
432,876.19,486.15
433,855.49,484.99
434,764.70,386.91
434,852.59,475.44
435,858.97,473.72
436,1114.97,627.16
