frame,cx,cy
0,725.75,546.66
0,860.91,593.79
0,746.34,401.22
0,903.98,447.64
1,725.64,543.39
1,865.54,589.63
1,754.68,395.44
1,902.92,437.52
2,723.24,545.84
2,868.03,590.41
2,743.98,392.53
2,899.68,439.48
3,725.22,544.87
3,865.89,590.95
3,746.55,392.77
3,913.28,439.41
4,724.81,542.96
4,865.87,592.28
4,749.00,396.30
4,897.10,437.76
5,725.63,544.04
5,861.95,592.07
5,746.44,396.16
5,904.51,440.81
6,726.32,545.54
6,867.06,595.85
6,755.63,393.36
6,905.08,444.31
7,723.42,540.93
7,864.51,594.82
7,751.02,394.84
7,898.21,446.15
8,728.79,542.91
8,862.89,594.94
8,753.41,400.86
8,904.43,451.23
9,730.97,543.17
9,864.29,594.64
9,754.19,396.19
9,898.50,447.10
10,729.32,544.08
10,866.40,597.09
10,749.10,395.81
10,896.62,445.21
11,734.90,543.56
11,873.29,597.26
11,747.62,399.34
11,894.47,452.30
12,728.67,542.43
12,867.91,594.38
12,749.90,397.04
12,893.03,452.25
13,726.60,545.12
13,864.00,598.29
13,753.05,397.06
13,904.88,451.16
14,722.67,545.27
14,850.97,590.01
14,757.73,406.14
14,906.63,456.01
15,722.30,546.93
15,860.17,592.60
15,750.26,395.73
15,905.23,447.01
16,726.25,544.74
16,860.77,592.14
16,751.12,394.64
16,897.33,443.58
17,727.70,544.14
17,863.55,593.66
17,751.39,395.55
17,900.08,444.51
18,728.36,543.59
18,861.87,593.97
18,751.64,395.34
18,905.17,440.12
19,725.09,545.08
19,863.96,594.67
19,745.03,397.11
19,901.09,444.46
20,728.22,545.89
20,861.57,593.67
20,749.70,395.79
20,902.63,446.03
21,728.53,546.21
21,858.37,592.21
21,753.19,395.33
21,896.00,446.74
22,730.99,542.01
22,863.76,592.56
22,758.02,396.32
22,898.58,443.01
23,731.25,543.61
23,864.16,590.86
23,751.03,399.70
23,907.34,440.35
24,731.97,544.14
24,860.68,591.75
24,751.34,396.77
24,905.27,445.53
25,728.00,544.97
25,864.29,591.65
25,751.36,401.42
25,900.16,440.48
