instance_id,frame_id,frame_name,speed_nm_per_s
1,9,11dd74426e8374ac110c4036c77c09ab_000000000009,203.321952
1,10,11dd74426e8374ac110c4036c77c09ab_000000000010,26.705511
4,19,11dd74426e8374ac110c4036c77c09ab_000000000019,225.220118
4,29,11dd74426e8374ac110c4036c77c09ab_000000000029,87.173630
4,30,11dd74426e8374ac110c4036c77c09ab_000000000030,66.871165
7,39,11dd74426e8374ac110c4036c77c09ab_000000000039,81.194551
7,49,11dd74426e8374ac110c4036c77c09ab_000000000049,171.933742
7,59,11dd74426e8374ac110c4036c77c09ab_000000000065,150.820934
7,69,11dd74426e8374ac110c4036c77c09ab_000000000075,106.407464
7,79,11dd74426e8374ac110c4036c77c09ab_000000000085,128.621539
7,89,11dd74426e8374ac110c4036c77c09ab_000000000095,105.722232
7,99,11dd74426e8374ac110c4036c77c09ab_000000000105,187.385502
7,109,11dd74426e8374ac110c4036c77c09ab_000000000115,166.558032
7,119,11dd74426e8374ac110c4036c77c09ab_000000000125,145.777519
7,129,11dd74426e8374ac110c4036c77c09ab_000000000135,111.126387
7,139,11dd74426e8374ac110c4036c77c09ab_000000000145,116.960500
7,149,11dd74426e8374ac110c4036c77c09ab_000000000155,117.572193
7,159,11dd74426e8374ac110c4036c77c09ab_000000000165,158.421723
7,169,11dd74426e8374ac110c4036c77c09ab_000000000175,200.999640
7,179,11dd74426e8374ac110c4036c77c09ab_000000000185,134.310250
7,189,11dd74426e8374ac110c4036c77c09ab_000000000195,156.275008
7,190,11dd74426e8374ac110c4036c77c09ab_000000000196,283.001986
8,192,11dd74426e8374ac110c4036c77c09ab_000000000198,777.647671
9,192,11dd74426e8374ac110c4036c77c09ab_000000000198,152.302371
10,199,11dd74426e8374ac110c4036c77c09ab_000000000205,219.017869
10,205,11dd74426e8374ac110c4036c77c09ab_000000000211,233.267870
14,209,11dd74426e8374ac110c4036c77c09ab_000000000215,43.805264
15,209,11dd74426e8374ac110c4036c77c09ab_000000000215,31.414491
20,213,11dd74426e8374ac110c4036c77c09ab_000000000219,164.450325
27,217,11dd74426e8374ac110c4036c77c09ab_000000000223,261.631561
30,221,11dd74426e8374ac110c4036c77c09ab_000000000227,176.131840
36,229,11dd74426e8374ac110c4036c77c09ab_000000000235,85.234163
36,239,11dd74426e8374ac110c4036c77c09ab_000000000245,168.644316
36,249,11dd74426e8374ac110c4036c77c09ab_000000000255,140.837954
36,259,11dd74426e8374ac110c4036c77c09ab_000000000265,229.211010
36,269,11dd74426e8374ac110c4036c77c09ab_000000000275,130.766788
36,279,11dd74426e8374ac110c4036c77c09ab_000000000285,130.696595
36,289,11dd74426e8374ac110c4036c77c09ab_000000000295,159.200575
36,299,11dd74426e8374ac110c4036c77c09ab_000000000305,234.512579
36,309,11dd74426e8374ac110c4036c77c09ab_000000000315,167.479463
36,312,11dd74426e8374ac110c4036c77c09ab_000000000318,254.948884
37,316,11dd74426e8374ac110c4036c77c09ab_000000000322,16.772627
38,316,11dd74426e8374ac110c4036c77c09ab_000000000322,66.411182
42,329,11dd74426e8374ac110c4036c77c09ab_000000000335,130.097112
42,339,11dd74426e8374ac110c4036c77c09ab_000000000379,206.792485
42,349,11dd74426e8374ac110c4036c77c09ab_000000000389,136.127487
42,353,11dd74426e8374ac110c4036c77c09ab_000000000393,185.887185
43,359,11dd74426e8374ac110c4036c77c09ab_000000000399,114.714885
43,369,11dd74426e8374ac110c4036c77c09ab_000000000409,213.791928
43,379,11dd74426e8374ac110c4036c77c09ab_000000000419,155.667965
43,389,11dd74426e8374ac110c4036c77c09ab_000000000429,237.461073
43,399,11dd74426e8374ac110c4036c77c09ab_000000000439,128.388082
43,409,11dd74426e8374ac110c4036c77c09ab_000000000449,193.977553
43,419,11dd74426e8374ac110c4036c77c09ab_000000000459,206.584962
43,429,11dd74426e8374ac110c4036c77c09ab_000000000469,162.432745
43,430,11dd74426e8374ac110c4036c77c09ab_000000000470,220.256948
46,433,11dd74426e8374ac110c4036c77c09ab_000000000473,373.405453
53,439,11dd74426e8374ac110c4036c77c09ab_000000000479,9.579003
54,439,11dd74426e8374ac110c4036c77c09ab_000000000479,40.653352
55,443,11dd74426e8374ac110c4036c77c09ab_000000000483,44.006552
58,449,11dd74426e8374ac110c4036c77c09ab_000000000489,239.792258
58,452,11dd74426e8374ac110c4036c77c09ab_000000000492,124.766697
64,459,11dd74426e8374ac110c4036c77c09ab_000000000499,125.477139
64,469,11dd74426e8374ac110c4036c77c09ab_000000000509,165.175711
64,472,11dd74426e8374ac110c4036c77c09ab_000000000512,213.721280
68,478,11dd74426e8374ac110c4036c77c09ab_000000000518,444.862683
71,489,11dd74426e8374ac110c4036c77c09ab_000000000529,168.647598
71,499,11dd74426e8374ac110c4036c77c09ab_000000000539,219.997618
71,506,11dd74426e8374ac110c4036c77c09ab_000000000555,210.759310
74,509,11dd74426e8374ac110c4036c77c09ab_000000000558,152.078114
74,518,11dd74426e8374ac110c4036c77c09ab_000000000567,180.322575
75,520,11dd74426e8374ac110c4036c77c09ab_000000000569,302.528955
76,520,11dd74426e8374ac110c4036c77c09ab_000000000569,169.181370
77,528,11dd74426e8374ac110c4036c77c09ab_000000000577,185.458832
80,539,11dd74426e8374ac110c4036c77c09ab_000000000594,123.410726
80,549,11dd74426e8374ac110c4036c77c09ab_000000000604,220.839035
80,559,11dd74426e8374ac110c4036c77c09ab_000000000614,304.351565
80,569,11dd74426e8374ac110c4036c77c09ab_000000000624,185.483216
80,578,11dd74426e8374ac110c4036c77c09ab_000000000633,247.174823
140,599,11dd74426e8374ac110c4036c77c09ab_000000000654,350.816503
140,602,11dd74426e8374ac110c4036c77c09ab_000000000657,92.763895
