frame_id,frame_name,nm_per_pixel,area_nm2
0,11dd74426e8374ac110c4036c77c09ab_000000000000,0.398252,233.544806
0,11dd74426e8374ac110c4036c77c09ab_000000000000,0.398252,186.915147
1,11dd74426e8374ac110c4036c77c09ab_000000000001,0.398252,225.416336
1,11dd74426e8374ac110c4036c77c09ab_000000000001,0.398252,188.144330
2,11dd74426e8374ac110c4036c77c09ab_000000000002,0.398252,216.494845
2,11dd74426e8374ac110c4036c77c09ab_000000000002,0.398252,184.179223
3,11dd74426e8374ac110c4036c77c09ab_000000000003,0.398252,218.754956
3,11dd74426e8374ac110c4036c77c09ab_000000000003,0.398252,183.703410
4,11dd74426e8374ac110c4036c77c09ab_000000000004,0.390658,209.614651
4,11dd74426e8374ac110c4036c77c09ab_000000000004,0.390658,183.021747
5,11dd74426e8374ac110c4036c77c09ab_000000000005,0.390658,210.911866
5,11dd74426e8374ac110c4036c77c09ab_000000000005,0.390658,183.517741
6,11dd74426e8374ac110c4036c77c09ab_000000000006,0.392232,210.769231
6,11dd74426e8374ac110c4036c77c09ab_000000000006,0.392232,186.307692
7,11dd74426e8374ac110c4036c77c09ab_000000000007,0.390658,207.706982
7,11dd74426e8374ac110c4036c77c09ab_000000000007,0.390658,189.965662
8,11dd74426e8374ac110c4036c77c09ab_000000000008,0.390658,207.897749
8,11dd74426e8374ac110c4036c77c09ab_000000000008,0.390658,190.385349
9,11dd74426e8374ac110c4036c77c09ab_000000000009,0.398252,212.172879
9,11dd74426e8374ac110c4036c77c09ab_000000000009,0.398252,202.537669
10,11dd74426e8374ac110c4036c77c09ab_000000000010,0.398252,208.564631
10,11dd74426e8374ac110c4036c77c09ab_000000000010,0.398252,201.942902
11,11dd74426e8374ac110c4036c77c09ab_000000000011,0.398252,202.537669
11,11dd74426e8374ac110c4036c77c09ab_000000000011,0.398252,202.379064
12,11dd74426e8374ac110c4036c77c09ab_000000000012,0.398252,202.934179
12,11dd74426e8374ac110c4036c77c09ab_000000000012,0.398252,203.251388
13,11dd74426e8374ac110c4036c77c09ab_000000000013,0.390658,185.272797
13,11dd74426e8374ac110c4036c77c09ab_000000000013,0.390658,201.640595
14,11dd74426e8374ac110c4036c77c09ab_000000000014,0.390658,200.000000
14,11dd74426e8374ac110c4036c77c09ab_000000000014,0.390658,148.798169
15,11dd74426e8374ac110c4036c77c09ab_000000000015,0.390658,202.708890
15,11dd74426e8374ac110c4036c77c09ab_000000000015,0.390658,157.764212
16,11dd74426e8374ac110c4036c77c09ab_000000000016,0.390658,209.347577
16,11dd74426e8374ac110c4036c77c09ab_000000000016,0.390658,161.999237
17,11dd74426e8374ac110c4036c77c09ab_000000000017,0.383342,201.506245
17,11dd74426e8374ac110c4036c77c09ab_000000000017,0.383342,156.318883
18,11dd74426e8374ac110c4036c77c09ab_000000000018,0.383342,203.563556
18,11dd74426e8374ac110c4036c77c09ab_000000000018,0.383342,162.160176
19,11dd74426e8374ac110c4036c77c09ab_000000000019,0.383342,203.049229
19,11dd74426e8374ac110c4036c77c09ab_000000000019,0.383342,161.866275
20,11dd74426e8374ac110c4036c77c09ab_000000000020,0.390658,220.068676
20,11dd74426e8374ac110c4036c77c09ab_000000000020,0.390658,176.650134
21,11dd74426e8374ac110c4036c77c09ab_000000000021,0.390658,219.038535
21,11dd74426e8374ac110c4036c77c09ab_000000000021,0.390658,176.802747
22,11dd74426e8374ac110c4036c77c09ab_000000000022,0.390658,233.842045
22,11dd74426e8374ac110c4036c77c09ab_000000000022,0.390658,170.698207
23,11dd74426e8374ac110c4036c77c09ab_000000000023,0.390658,233.994659
23,11dd74426e8374ac110c4036c77c09ab_000000000023,0.390658,174.360931
24,11dd74426e8374ac110c4036c77c09ab_000000000024,0.390658,234.528806
24,11dd74426e8374ac110c4036c77c09ab_000000000024,0.390658,175.352919
25,11dd74426e8374ac110c4036c77c09ab_000000000025,0.390658,224.303701
25,11dd74426e8374ac110c4036c77c09ab_000000000025,0.390658,178.367035
26,11dd74426e8374ac110c4036c77c09ab_000000000026,0.390658,226.478443
26,11dd74426e8374ac110c4036c77c09ab_000000000026,0.390658,178.290729
27,11dd74426e8374ac110c4036c77c09ab_000000000027,0.390658,225.486456
27,11dd74426e8374ac110c4036c77c09ab_000000000027,0.390658,176.955361
28,11dd74426e8374ac110c4036c77c09ab_000000000028,0.390658,228.805799
28,11dd74426e8374ac110c4036c77c09ab_000000000028,0.390658,174.437238
29,11dd74426e8374ac110c4036c77c09ab_000000000029,0.390658,219.839756
