frame_id,frame_name,nm_per_pixel,cx_nm,cy_nm
891,11dd74426e8374ac110c4036c77c09ab_000000000952,0.343351,318.095552,121.421000
892,11dd74426e8374ac110c4036c77c09ab_000000000953,0.345599,270.128067,186.375796
892,11dd74426e8374ac110c4036c77c09ab_000000000953,0.345599,321.021626,121.877927
893,11dd74426e8374ac110c4036c77c09ab_000000000954,0.343351,267.072772,185.190291
893,11dd74426e8374ac110c4036c77c09ab_000000000954,0.343351,317.888670,121.545513
894,11dd74426e8374ac110c4036c77c09ab_000000000955,0.343351,267.051816,185.641379
894,11dd74426e8374ac110c4036c77c09ab_000000000955,0.343351,319.300507,120.868535
895,11dd74426e8374ac110c4036c77c09ab_000000000956,0.343351,266.642201,183.620987
895,11dd74426e8374ac110c4036c77c09ab_000000000956,0.343351,317.400154,120.681551
896,11dd74426e8374ac110c4036c77c09ab_000000000957,0.343351,265.320832,183.564467
896,11dd74426e8374ac110c4036c77c09ab_000000000957,0.343351,317.139811,121.200926
897,11dd74426e8374ac110c4036c77c09ab_000000000958,0.343351,266.276825,182.369802
897,11dd74426e8374ac110c4036c77c09ab_000000000958,0.343351,317.723470,121.135762
898,11dd74426e8374ac110c4036c77c09ab_000000000959,0.343351,266.217937,183.769694
898,11dd74426e8374ac110c4036c77c09ab_000000000959,0.343351,317.803775,120.382471
899,11dd74426e8374ac110c4036c77c09ab_000000000960,0.343351,266.880685,182.320491
899,11dd74426e8374ac110c4036c77c09ab_000000000960,0.343351,318.107770,119.758513
900,11dd74426e8374ac110c4036c77c09ab_000000000961,0.343351,265.879804,183.562791
900,11dd74426e8374ac110c4036c77c09ab_000000000961,0.343351,317.602069,120.758483
901,11dd74426e8374ac110c4036c77c09ab_000000000962,0.344520,267.055501,182.766833
901,11dd74426e8374ac110c4036c77c09ab_000000000962,0.344520,318.101938,121.286413
902,11dd74426e8374ac110c4036c77c09ab_000000000963,0.343351,263.860229,183.073520
902,11dd74426e8374ac110c4036c77c09ab_000000000963,0.343351,315.687884,120.615056
903,11dd74426e8374ac110c4036c77c09ab_000000000964,0.343351,265.900824,183.165247
903,11dd74426e8374ac110c4036c77c09ab_000000000964,0.343351,317.874357,120.701481
904,11dd74426e8374ac110c4036c77c09ab_000000000965,0.343351,264.458725,180.669687
904,11dd74426e8374ac110c4036c77c09ab_000000000965,0.343351,317.067826,120.681562
905,11dd74426e8374ac110c4036c77c09ab_000000000966,0.343351,264.601858,180.267344
905,11dd74426e8374ac110c4036c77c09ab_000000000966,0.343351,316.925699,119.957390
906,11dd74426e8374ac110c4036c77c09ab_000000000967,0.344520,265.139379,181.290908
906,11dd74426e8374ac110c4036c77c09ab_000000000967,0.344520,317.268667,121.207684
907,11dd74426e8374ac110c4036c77c09ab_000000000968,0.344520,265.007787,180.581197
907,11dd74426e8374ac110c4036c77c09ab_000000000968,0.344520,317.881083,120.836059
908,11dd74426e8374ac110c4036c77c09ab_000000000969,0.343351,264.734114,181.654096
908,11dd74426e8374ac110c4036c77c09ab_000000000969,0.343351,317.362558,120.205798
909,11dd74426e8374ac110c4036c77c09ab_000000000970,0.343351,264.900823,181.534372
909,11dd74426e8374ac110c4036c77c09ab_000000000970,0.343351,316.777265,120.898870
910,11dd74426e8374ac110c4036c77c09ab_000000000971,0.343351,264.560448,178.631000
910,11dd74426e8374ac110c4036c77c09ab_000000000971,0.343351,318.038886,121.368400
911,11dd74426e8374ac110c4036c77c09ab_000000000972,0.344520,263.869906,177.907189
911,11dd74426e8374ac110c4036c77c09ab_000000000972,0.344520,318.103032,121.014554
912,11dd74426e8374ac110c4036c77c09ab_000000000973,0.344520,263.797003,178.088617
912,11dd74426e8374ac110c4036c77c09ab_000000000973,0.344520,317.085788,122.007532
913,11dd74426e8374ac110c4036c77c09ab_000000000974,0.343351,263.263284,178.860494
913,11dd74426e8374ac110c4036c77c09ab_000000000974,0.343351,315.546470,121.435094
914,11dd74426e8374ac110c4036c77c09ab_000000000975,0.343351,263.365258,176.521082
914,11dd74426e8374ac110c4036c77c09ab_000000000975,0.343351,316.473039,121.096123
915,11dd74426e8374ac110c4036c77c09ab_000000000976,0.344520,262.945332,176.899302
915,11dd74426e8374ac110c4036c77c09ab_000000000976,0.344520,316.307736,121.864016
916,11dd74426e8374ac110c4036c77c09ab_000000000977,0.344520,262.872702,175.670529
916,11dd74426e8374ac110c4036c77c09ab_000000000977,0.344520,316.332444,122.043458
917,11dd74426e8374ac110c4036c77c09ab_000000000978,0.343351,258.876131,173.362921
917,11dd74426e8374ac110c4036c77c09ab_000000000978,0.343351,315.012248,120.831767
918,11dd74426e8374ac110c4036c77c09ab_000000000979,0.343351,257.947445,173.928923
918,11dd74426e8374ac110c4036c77c09ab_000000000979,0.343351,314.414548,122.978904
919,11dd74426e8374ac110c4036c77c09ab_000000000980,0.343351,257.887237,173.782406
919,11dd74426e8374ac110c4036c77c09ab_000000000980,0.343351,313.779232,121.306693
920,11dd74426e8374ac110c4036c77c09ab_000000000981,0.338788,254.075090,170.595455
920,11dd74426e8374ac110c4036c77c09ab_000000000981,0.338788,309.330548,119.795456
921,11dd74426e8374ac110c4036c77c09ab_000000000982,0.344520,259.218375,174.369630
921,11dd74426e8374ac110c4036c77c09ab_000000000982,0.344520,315.871597,122.789095
922,11dd74426e8374ac110c4036c77c09ab_000000000983,0.339814,256.223923,168.389919
922,11dd74426e8374ac110c4036c77c09ab_000000000983,0.339814,309.860542,120.705103
923,11dd74426e8374ac110c4036c77c09ab_000000000984,0.334216,249.962539,165.389282
923,11dd74426e8374ac110c4036c77c09ab_000000000984,0.334216,302.639696,117.883668
924,11dd74426e8374ac110c4036c77c09ab_000000000985,0.334216,250.157675,166.340648
924,11dd74426e8374ac110c4036c77c09ab_000000000985,0.334216,304.423135,117.357181
925,11dd74426e8374ac110c4036c77c09ab_000000000986,0.344520,259.570592,169.639833
925,11dd74426e8374ac110c4036c77c09ab_000000000986,0.344520,313.649688,121.445015
926,11dd74426e8374ac110c4036c77c09ab_000000000987,0.344520,258.704055,168.757462
926,11dd74426e8374ac110c4036c77c09ab_000000000987,0.344520,312.320790,121.299944
927,11dd74426e8374ac110c4036c77c09ab_000000000988,0.344520,259.215032,168.068095
927,11dd74426e8374ac110c4036c77c09ab_000000000988,0.344520,313.901476,123.434535
928,11dd74426e8374ac110c4036c77c09ab_000000000989,0.344520,259.326690,167.298559
928,11dd74426e8374ac110c4036c77c09ab_000000000989,0.344520,312.874580,122.541208
929,11dd74426e8374ac110c4036c77c09ab_000000000990,0.334216,250.069939,160.659968
929,11dd74426e8374ac110c4036c77c09ab_000000000990,0.334216,302.867756,118.420588
930,11dd74426e8374ac110c4036c77c09ab_000000000991,0.334216,251.109531,159.538342
930,11dd74426e8374ac110c4036c77c09ab_000000000991,0.334216,304.947205,118.289800
931,11dd74426e8374ac110c4036c77c09ab_000000000992,0.345599,258.420902,164.081247
931,11dd74426e8374ac110c4036c77c09ab_000000000992,0.345599,314.854107,123.977877
932,11dd74426e8374ac110c4036c77c09ab_000000000993,0.345599,254.806162,162.936566
932,11dd74426e8374ac110c4036c77c09ab_000000000993,0.345599,312.070964,121.070862
933,11dd74426e8374ac110c4036c77c09ab_000000000994,0.343351,253.943879,164.028092
933,11dd74426e8374ac110c4036c77c09ab_000000000994,0.343351,310.628385,123.443017
934,11dd74426e8374ac110c4036c77c09ab_000000000995,0.344520,254.083119,164.111881
934,11dd74426e8374ac110c4036c77c09ab_000000000995,0.344520,312.856139,122.586061
935,11dd74426e8374ac110c4036c77c09ab_000000000996,0.344520,253.636214,164.561499
935,11dd74426e8374ac110c4036c77c09ab_000000000996,0.344520,311.811012,121.288105
936,11dd74426e8374ac110c4036c77c09ab_000000000997,0.343351,258.487493,183.012893
936,11dd74426e8374ac110c4036c77c09ab_000000000997,0.343351,313.132159,123.681250
937,11dd74426e8374ac110c4036c77c09ab_000000000998,0.343351,259.565767,183.097746
937,11dd74426e8374ac110c4036c77c09ab_000000000998,0.343351,314.138929,123.413541
938,11dd74426e8374ac110c4036c77c09ab_000000000999,0.344520,306.176134,121.168026
938,11dd74426e8374ac110c4036c77c09ab_000000000999,0.344520,249.551783,182.816816
938,11dd74426e8374ac110c4036c77c09ab_000000000999,0.344520,222.007976,94.771215
939,11dd74426e8374ac110c4036c77c09ab_000000001000,0.344520,306.898735,122.105942
939,11dd74426e8374ac110c4036c77c09ab_000000001000,0.344520,251.151309,182.471286
939,11dd74426e8374ac110c4036c77c09ab_000000001000,0.344520,223.491870,95.566331
940,11dd74426e8374ac110c4036c77c09ab_000000001001,0.343351,305.851274,122.791721
940,11dd74426e8374ac110c4036c77c09ab_000000001001,0.343351,251.503414,183.077900
940,11dd74426e8374ac110c4036c77c09ab_000000001001,0.343351,221.480358,95.643599
941,11dd74426e8374ac110c4036c77c09ab_000000001002,0.344520,308.334392,121.951913
941,11dd74426e8374ac110c4036c77c09ab_000000001002,0.344520,250.697570,181.726479
941,11dd74426e8374ac110c4036c77c09ab_000000001002,0.344520,223.196324,95.339041
942,11dd74426e8374ac110c4036c77c09ab_000000001003,0.343351,304.753134,121.092560
942,11dd74426e8374ac110c4036c77c09ab_000000001003,0.343351,248.010663,180.270026
942,11dd74426e8374ac110c4036c77c09ab_000000001003,0.343351,219.630803,94.462828
943,11dd74426e8374ac110c4036c77c09ab_000000001004,0.344520,304.883026,121.559722
943,11dd74426e8374ac110c4036c77c09ab_000000001004,0.344520,249.271965,181.296880
943,11dd74426e8374ac110c4036c77c09ab_000000001004,0.344520,219.388914,93.908547
