instance_id,frame_id,frame_name,nm_per_pixel,area_nm2,cx_nm,cy_nm
1,0,11dd74426e8374ac110c4036c77c09ab_000000000000,0.398252,233.544806,244.281981,201.798990
1,1,11dd74426e8374ac110c4036c77c09ab_000000000001,0.398252,225.416336,242.723492,198.107871
1,2,11dd74426e8374ac110c4036c77c09ab_000000000002,0.398252,216.494845,242.967586,198.773443
1,3,11dd74426e8374ac110c4036c77c09ab_000000000003,0.398252,218.754956,243.678722,198.737881
1,4,11dd74426e8374ac110c4036c77c09ab_000000000004,0.390658,209.614651,238.844532,195.662743
1,5,11dd74426e8374ac110c4036c77c09ab_000000000005,0.390658,210.911866,238.293572,196.437227
1,6,11dd74426e8374ac110c4036c77c09ab_000000000006,0.392232,210.769231,240.157518,197.956579
1,7,11dd74426e8374ac110c4036c77c09ab_000000000007,0.390658,207.706982,237.563759,196.492343
1,8,11dd74426e8374ac110c4036c77c09ab_000000000008,0.390658,207.897749,237.792923,196.290147
1,9,11dd74426e8374ac110c4036c77c09ab_000000000009,0.398252,212.172879,243.086959,201.448199
1,10,11dd74426e8374ac110c4036c77c09ab_000000000010,0.398252,208.564631,243.066809,202.237337
1,11,11dd74426e8374ac110c4036c77c09ab_000000000011,0.398252,202.537669,244.502352,202.240169
1,12,11dd74426e8374ac110c4036c77c09ab_000000000012,0.398252,202.934179,243.206624,201.318288
1,13,11dd74426e8374ac110c4036c77c09ab_000000000013,0.390658,185.272797,241.736268,198.267566
1,14,11dd74426e8374ac110c4036c77c09ab_000000000014,0.390658,148.798169,240.979893,197.984789
1,15,11dd74426e8374ac110c4036c77c09ab_000000000015,0.390658,157.764212,241.666882,197.912983
1,16,11dd74426e8374ac110c4036c77c09ab_000000000016,0.390658,161.999237,241.265518,197.355311
1,17,11dd74426e8374ac110c4036c77c09ab_000000000017,0.383342,156.318883,236.543822,194.104383
1,18,11dd74426e8374ac110c4036c77c09ab_000000000018,0.383342,162.160176,237.420987,194.780963
1,19,11dd74426e8374ac110c4036c77c09ab_000000000019,0.383342,161.866275,237.456926,194.300639
1,20,11dd74426e8374ac110c4036c77c09ab_000000000020,0.390658,176.650134,241.279109,197.400245
1,21,11dd74426e8374ac110c4036c77c09ab_000000000021,0.390658,176.802747,240.826100,197.352116
1,22,11dd74426e8374ac110c4036c77c09ab_000000000022,0.390658,170.698207,243.142078,198.100205
1,23,11dd74426e8374ac110c4036c77c09ab_000000000023,0.390658,174.360931,243.841847,198.491245
1,24,11dd74426e8374ac110c4036c77c09ab_000000000024,0.390658,175.352919,244.457138,200.014319
1,25,11dd74426e8374ac110c4036c77c09ab_000000000025,0.390658,178.367035,244.382650,198.991441
1,26,11dd74426e8374ac110c4036c77c09ab_000000000026,0.390658,178.290729,243.961281,198.912983
1,27,11dd74426e8374ac110c4036c77c09ab_000000000027,0.390658,176.955361,246.618536,200.123393
1,28,11dd74426e8374ac110c4036c77c09ab_000000000028,0.390658,174.437238,245.099134,200.917393
1,29,11dd74426e8374ac110c4036c77c09ab_000000000029,0.390658,180.999618,247.415160,200.322394
1,30,11dd74426e8374ac110c4036c77c09ab_000000000030,0.390658,185.654330,247.738006,201.263630
1,31,11dd74426e8374ac110c4036c77c09ab_000000000031,0.390658,183.822968,248.578168,200.725665
1,32,11dd74426e8374ac110c4036c77c09ab_000000000032,0.390658,186.798932,248.911028,201.659223
1,33,11dd74426e8374ac110c4036c77c09ab_000000000033,0.390658,186.264784,250.142373,200.970207
1,34,11dd74426e8374ac110c4036c77c09ab_000000000034,0.383342,173.732550,245.573618,198.053931
1,35,11dd74426e8374ac110c4036c77c09ab_000000000035,0.383342,174.393828,244.940650,197.554235
1,36,11dd74426e8374ac110c4036c77c09ab_000000000036,0.383342,176.598090,244.992616,196.935914
1,37,11dd74426e8374ac110c4036c77c09ab_000000000037,0.383342,170.168993,242.742870,197.364670
1,38,11dd74426e8374ac110c4036c77c09ab_000000000038,0.383342,170.830272,244.207963,197.636500
1,39,11dd74426e8374ac110c4036c77c09ab_000000000039,0.383342,175.238795,244.404594,197.464857
1,40,11dd74426e8374ac110c4036c77c09ab_000000000040,0.383342,176.047024,243.404265,197.431586
1,41,11dd74426e8374ac110c4036c77c09ab_000000000041,0.390658,186.112171,249.256287,202.060444
1,42,11dd74426e8374ac110c4036c77c09ab_000000000042,0.390658,184.891263,248.434270,201.593224
1,43,11dd74426e8374ac110c4036c77c09ab_000000000043,0.390658,176.955361,250.150646,201.484710
