epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,692.979,1.10246,7.65365,1.12596,0.96244,0.88889,0.96036,0.683,0.94666,3.08439,1.18287,0.000800577,0.000800577,0.000800577
44,710.096,1.09406,21.8264,1.06966,0.96244,0.88889,0.96036,0.683,0.94666,3.08439,1.18287,0.000779948,0.000779948,0.000779948
45,727.333,1.20955,9.26373,1.13563,0.96729,0.88889,0.9675,0.67191,1.09292,3.07415,1.21911,0.000759318,0.000759318,0.000759318
46,741.481,1.16083,8.47853,1.17373,0.96729,0.88889,0.9675,0.67191,1.09292,3.07415,1.21911,0.000738689,0.000738689,0.000738689
47,757.183,0.87792,19.0848,1.04013,0.96652,0.96133,0.995,0.69473,1.02964,2.97378,1.22181,0.00071806,0.00071806,0.00071806
48,773.016,0.93367,20.0325,1.03099,0.90391,1,0.9565,0.6638,1.0222,2.94159,1.23868,0.000697431,0.000697431,0.000697431
49,789.931,1.13824,8.75415,1.18341,0.90391,1,0.9565,0.6638,1.0222,2.94159,1.23868,0.000676802,0.000676802,0.000676802
50,806.866,0.94495,20.3849,1.05069,0.9463,1,0.995,0.70444,1.07406,3.08364,1.20148,0.000656173,0.000656173,0.000656173
51,824.214,0.98567,9.16918,1.04824,0.9463,1,0.995,0.70444,1.07406,3.08364,1.20148,0.000635544,0.000635544,0.000635544
52,841.129,0.97787,9.71149,1.10079,0.92648,0.94444,0.9895,0.67968,1.02614,3.22786,1.1674,0.000614915,0.000614915,0.000614915
53,858.37,1.03156,8.32168,1.04867,0.92648,0.94444,0.9895,0.67968,1.02614,3.22786,1.1674,0.000594286,0.000594286,0.000594286
54,875.122,1.07751,8.74992,1.07898,0.98723,0.938,0.98125,0.76673,0.91006,3.13927,1.16272,0.000573656,0.000573656,0.000573656
55,890.651,0.90844,17.4956,1.02792,0.98723,0.938,0.98125,0.76673,0.91006,3.13927,1.16272,0.000553027,0.000553027,0.000553027
56,906.602,1.00861,8.3386,1.12818,0.87659,0.94444,0.94963,0.70329,0.98185,3.04207,1.19753,0.000532398,0.000532398,0.000532398
57,923.546,0.97784,19.044,0.9745,0.87659,0.94444,0.94963,0.70329,0.98185,3.04207,1.19753,0.000511769,0.000511769,0.000511769
58,940.227,0.98487,9.35765,1.05539,0.87213,0.94444,0.93408,0.69082,0.98002,2.84747,1.21086,0.00049114,0.00049114,0.00049114
59,956.978,0.83227,19.1589,1.0199,0.87213,0.94444,0.93408,0.69082,0.98002,2.84747,1.21086,0.000470511,0.000470511,0.000470511
60,973.968,0.89711,7.6727,1.07366,0.98177,0.93959,0.985,0.72578,0.95424,2.72554,1.21758,0.000449882,0.000449882,0.000449882
61,990.853,1.08439,9.819,1.09086,0.98177,0.93959,0.985,0.72578,0.95424,2.72554,1.21758,0.000429253,0.000429253,0.000429253
62,1008.02,1.04076,6.61055,1.0377,0.96355,0.98338,0.995,0.74618,0.87861,2.8474,1.18575,0.000408623,0.000408623,0.000408623
63,1025.02,0.91761,8.88724,1.02549,0.90409,0.96168,0.984,0.73083,0.89191,3.06766,1.15651,0.000387994,0.000387994,0.000387994
64,1038.21,1.01188,8.27271,1.09236,0.90409,0.96168,0.984,0.73083,0.89191,3.06766,1.15651,0.000367365,0.000367365,0.000367365
65,1053.73,1.05291,8.1295,1.07329,0.84659,0.89132,0.975,0.72781,0.88947,3.06087,1.15175,0.000346736,0.000346736,0.000346736
66,1069.6,0.91439,8.18059,1.02533,0.84659,0.89132,0.975,0.72781,0.88947,3.06087,1.15175,0.000326107,0.000326107,0.000326107
67,1086.31,0.87455,7.84728,1.02615,0.84815,0.88889,0.975,0.72121,0.86185,3.04029,1.16253,0.000305478,0.000305478,0.000305478
68,1103.02,1.00989,7.3371,1.04617,0.84815,0.88889,0.975,0.72121,0.86185,3.04029,1.16253,0.000284849,0.000284849,0.000284849
69,1120.27,0.86585,6.82401,1.0324,0.8993,0.90415,0.984,0.78245,0.88144,2.89055,1.18112,0.00026422,0.00026422,0.00026422
70,1137.03,0.82568,9.44436,1.07383,0.8993,0.90415,0.984,0.78245,0.88144,2.89055,1.18112,0.00024359,0.00024359,0.00024359
71,1153.28,0.79499,10.9502,1.01774,0.82541,1,0.91861,0.70477,0.88074,2.79794,1.17242,0.000222961,0.000222961,0.000222961
72,1169.48,0.83651,11.875,1.00374,0.82541,1,0.91861,0.70477,0.88074,2.79794,1.17242,0.000202332,0.000202332,0.000202332
73,1181.77,0.88647,10.6203,1.00213,0.96676,1,0.995,0.73492,0.92788,2.73542,1.17417,0.000181703,0.000181703,0.000181703
74,1196.35,0.84796,19.5657,0.97621,0.96676,1,0.995,0.73492,0.92788,2.73542,1.17417,0.000161074,0.000161074,0.000161074
75,1211.01,0.91353,11.4537,1.02196,0.96125,1,0.995,0.72023,0.92264,2.78758,1.16011,0.000140445,0.000140445,0.000140445
76,1228.29,0.85638,10.147,1.03272,0.96125,1,0.995,0.72023,0.92264,2.78758,1.16011,0.000119816,0.000119816,0.000119816
77,1248.49,0.8332,10.4557,1.07577,0.97467,1,0.995,0.72629,0.93271,2.84526,1.15015,9.91865e-05,9.91865e-05,9.91865e-05
78,1268.1,0.90156,11.6851,1.10721,0.97467,1,0.995,0.72629,0.93271,2.84526,1.15015,7.85574e-05,7.85574e-05,7.85574e-05
79,1288.18,1.01043,11.3593,1.04937,0.96167,1,0.995,0.72941,0.93034,2.89871,1.15493,5.79283e-05,5.79283e-05,5.79283e-05
80,1307.79,1.00042,18.7018,1.05413,0.98175,0.97094,0.995,0.76551,0.89977,2.88878,1.15243,3.72991e-05,3.72991e-05,3.72991e-05
