frame_id,frame_name,nm_per_pixel,area_nm2
0,11dd74426e8374ac110c4036c77c09ab_000000000000,0.398252,233.386201
0,11dd74426e8374ac110c4036c77c09ab_000000000000,0.398252,186.915147
1,11dd74426e8374ac110c4036c77c09ab_000000000001,0.398252,225.376685
1,11dd74426e8374ac110c4036c77c09ab_000000000001,0.398252,188.183981
2,11dd74426e8374ac110c4036c77c09ab_000000000002,0.398252,216.574148
2,11dd74426e8374ac110c4036c77c09ab_000000000002,0.398252,184.298176
3,11dd74426e8374ac110c4036c77c09ab_000000000003,0.398252,218.754956
3,11dd74426e8374ac110c4036c77c09ab_000000000003,0.398252,183.743061
4,11dd74426e8374ac110c4036c77c09ab_000000000004,0.390658,209.690958
4,11dd74426e8374ac110c4036c77c09ab_000000000004,0.390658,182.945441
5,11dd74426e8374ac110c4036c77c09ab_000000000005,0.390658,210.835559
5,11dd74426e8374ac110c4036c77c09ab_000000000005,0.390658,183.594048
6,11dd74426e8374ac110c4036c77c09ab_000000000006,0.392232,210.846154
6,11dd74426e8374ac110c4036c77c09ab_000000000006,0.392232,186.230769
7,11dd74426e8374ac110c4036c77c09ab_000000000007,0.390658,207.783289
7,11dd74426e8374ac110c4036c77c09ab_000000000007,0.390658,189.927509
8,11dd74426e8374ac110c4036c77c09ab_000000000008,0.390658,207.859596
8,11dd74426e8374ac110c4036c77c09ab_000000000008,0.390658,190.385349
9,11dd74426e8374ac110c4036c77c09ab_000000000009,0.398252,212.014274
9,11dd74426e8374ac110c4036c77c09ab_000000000009,0.398252,202.537669
10,11dd74426e8374ac110c4036c77c09ab_000000000010,0.398252,208.604282
10,11dd74426e8374ac110c4036c77c09ab_000000000010,0.398252,201.942902
11,11dd74426e8374ac110c4036c77c09ab_000000000011,0.398252,202.537669
11,11dd74426e8374ac110c4036c77c09ab_000000000011,0.398252,202.458366
12,11dd74426e8374ac110c4036c77c09ab_000000000012,0.398252,203.013481
12,11dd74426e8374ac110c4036c77c09ab_000000000012,0.398252,203.251388
13,11dd74426e8374ac110c4036c77c09ab_000000000013,0.390658,185.272797
13,11dd74426e8374ac110c4036c77c09ab_000000000013,0.390658,201.640595
14,11dd74426e8374ac110c4036c77c09ab_000000000014,0.390658,200.076307
14,11dd74426e8374ac110c4036c77c09ab_000000000014,0.390658,148.874475
15,11dd74426e8374ac110c4036c77c09ab_000000000015,0.390658,202.747043
15,11dd74426e8374ac110c4036c77c09ab_000000000015,0.390658,157.802366
16,11dd74426e8374ac110c4036c77c09ab_000000000016,0.390658,209.423884
16,11dd74426e8374ac110c4036c77c09ab_000000000016,0.390658,162.113697
17,11dd74426e8374ac110c4036c77c09ab_000000000017,0.383342,201.542983
17,11dd74426e8374ac110c4036c77c09ab_000000000017,0.383342,156.282145
18,11dd74426e8374ac110c4036c77c09ab_000000000018,0.383342,203.673769
18,11dd74426e8374ac110c4036c77c09ab_000000000018,0.383342,162.013226
19,11dd74426e8374ac110c4036c77c09ab_000000000019,0.383342,203.012491
19,11dd74426e8374ac110c4036c77c09ab_000000000019,0.383342,161.866275
20,11dd74426e8374ac110c4036c77c09ab_000000000020,0.390658,220.144983
20,11dd74426e8374ac110c4036c77c09ab_000000000020,0.390658,176.726440
21,11dd74426e8374ac110c4036c77c09ab_000000000021,0.390658,219.076688
21,11dd74426e8374ac110c4036c77c09ab_000000000021,0.390658,176.726440
22,11dd74426e8374ac110c4036c77c09ab_000000000022,0.390658,233.880198
22,11dd74426e8374ac110c4036c77c09ab_000000000022,0.390658,170.736360
23,11dd74426e8374ac110c4036c77c09ab_000000000023,0.390658,234.070965
23,11dd74426e8374ac110c4036c77c09ab_000000000023,0.390658,174.437238
24,11dd74426e8374ac110c4036c77c09ab_000000000024,0.390658,234.414346
24,11dd74426e8374ac110c4036c77c09ab_000000000024,0.390658,175.276612
25,11dd74426e8374ac110c4036c77c09ab_000000000025,0.390658,224.265548
25,11dd74426e8374ac110c4036c77c09ab_000000000025,0.390658,178.443342
26,11dd74426e8374ac110c4036c77c09ab_000000000026,0.390658,226.478443
26,11dd74426e8374ac110c4036c77c09ab_000000000026,0.390658,178.214422
27,11dd74426e8374ac110c4036c77c09ab_000000000027,0.390658,225.486456
