instance_id,frame_id,frame_name,nm_per_pixel,area_nm2,cx_nm,cy_nm
123,567,11dd74426e8374ac110c4036c77c09ab_000000000622,0.338788,150.932568,245.724008,184.105431
123,568,11dd74426e8374ac110c4036c77c09ab_000000000623,0.338788,153.055954,244.041376,183.925615
123,569,11dd74426e8374ac110c4036c77c09ab_000000000624,0.338788,153.572453,244.714797,184.662972
123,570,11dd74426e8374ac110c4036c77c09ab_000000000625,0.338788,151.104735,247.712488,185.116916
123,571,11dd74426e8374ac110c4036c77c09ab_000000000626,0.338788,155.695839,246.212898,185.071796
123,572,11dd74426e8374ac110c4036c77c09ab_000000000627,0.338788,143.070301,248.612188,185.184760
124,544,11dd74426e8374ac110c4036c77c09ab_000000000599,0.333241,1989.408662,292.653785,118.047993
124,545,11dd74426e8374ac110c4036c77c09ab_000000000600,0.339814,1969.284065,293.609688,114.366384
124,546,11dd74426e8374ac110c4036c77c09ab_000000000601,0.339814,1963.279446,294.957640,113.999649
124,547,11dd74426e8374ac110c4036c77c09ab_000000000602,0.345599,2102.358913,295.352045,116.099723
124,548,11dd74426e8374ac110c4036c77c09ab_000000000603,0.345599,2090.773365,297.238115,115.925268
124,549,11dd74426e8374ac110c4036c77c09ab_000000000604,0.343351,2066.961391,296.457892,113.629511
124,550,11dd74426e8374ac110c4036c77c09ab_000000000605,0.322665,1809.682457,279.007726,105.540903
124,551,11dd74426e8374ac110c4036c77c09ab_000000000606,0.322665,1824.986986,279.190071,106.034186
124,552,11dd74426e8374ac110c4036c77c09ab_000000000607,0.307984,1738.771639,268.477689,101.568354
124,553,11dd74426e8374ac110c4036c77c09ab_000000000608,0.307984,1685.179037,267.396888,103.093123
124,554,11dd74426e8374ac110c4036c77c09ab_000000000609,0.333241,1969.239311,288.208243,111.585738
124,555,11dd74426e8374ac110c4036c77c09ab_000000000610,0.322665,1846.746486,281.541383,109.453822
124,556,11dd74426e8374ac110c4036c77c09ab_000000000611,0.344520,2130.445104,301.279670,116.865136
124,557,11dd74426e8374ac110c4036c77c09ab_000000000612,0.339814,2051.039261,296.006388,114.504942
124,558,11dd74426e8374ac110c4036c77c09ab_000000000613,0.338788,2045.911047,295.978408,112.542293
124,559,11dd74426e8374ac110c4036c77c09ab_000000000614,0.338788,2036.843615,295.071636,111.800470
124,560,11dd74426e8374ac110c4036c77c09ab_000000000615,0.338788,2027.890961,293.314274,111.078735
124,561,11dd74426e8374ac110c4036c77c09ab_000000000616,0.339814,2020.669746,295.162660,112.701942
124,562,11dd74426e8374ac110c4036c77c09ab_000000000617,0.339814,2024.826790,294.292157,110.852493
124,563,11dd74426e8374ac110c4036c77c09ab_000000000618,0.338788,2005.624103,296.102269,111.114001
124,564,11dd74426e8374ac110c4036c77c09ab_000000000619,0.338788,1997.704448,298.027950,111.648466
124,565,11dd74426e8374ac110c4036c77c09ab_000000000620,0.337676,1918.586089,297.349528,113.320577
124,566,11dd74426e8374ac110c4036c77c09ab_000000000621,0.338788,1970.616930,297.172087,111.727321
